id,professional_id,is_active,requested_count,assigned_count,remaining_count,request_client_types,request_modalities,request_followup_types,request_comment,created_at,updated_at
5199a380-78b4-469a-8ab6-ff4fd641ea19,f9a7923a-5cab-4bb7-9ec8-7524a54046ba,true,3,0,3,[],[],[],Des ados,2026-05-19T14:08:14.998586+00:00,2026-05-19T14:08:14.998586+00:00
28764f5d-39eb-4bac-9f80-6163caa3c4ce,d32a577c-7996-4f49-ae31-2486ee5811bd,true,3,3,0,[],[],[],Des adultes santé mentale,2026-05-28T09:38:25.547867+00:00,2026-05-28T09:38:25.547867+00:00
9228d97c-b658-47b9-91bf-eec90b1602ae,d32a577c-7996-4f49-ae31-2486ee5811bd,true,3,3,0,[],[],[],,2026-06-03T17:18:57.1742+00:00,2026-06-03T17:18:57.1742+00:00
87117aa4-bd07-4566-939b-0add4b94faa0,d32a577c-7996-4f49-ae31-2486ee5811bd,true,2,2,0,[],[],[],Je veux seulement des adultes de plus de 21 ans,2026-06-08T15:22:17.932084+00:00,2026-06-08T15:22:17.932084+00:00
4354dbca-9a67-41e1-9dbd-d8c3447e9fde,fa53ace4-a6ba-40ed-a723-25529a1ada9f,true,3,3,0,[],[],[],que des adultes,2026-05-19T14:15:47.135941+00:00,2026-05-19T14:15:47.135941+00:00
63935711-1857-44d9-b627-0058eaa189c1,fa53ace4-a6ba-40ed-a723-25529a1ada9f,true,2,2,0,[],[],[],Adultes 40 ans et plus,2026-06-10T22:29:42.63049+00:00,2026-06-10T22:29:42.63049+00:00
d85ab418-7c49-42c8-bf21-ac0ce177dafb,d32a577c-7996-4f49-ae31-2486ee5811bd,true,2,3,0,[],[],[],Enfant ou famille,2026-05-20T16:31:32.863669+00:00,2026-05-20T16:31:32.863669+00:00
eae6a852-ffce-44bc-9a78-87e2f394605b,d32a577c-7996-4f49-ae31-2486ee5811bd,true,2,2,0,[],[],[],,2026-05-25T07:04:14.075162+00:00,2026-05-25T07:04:14.075162+00:00
8608fa8d-a92a-4911-b38d-02f0cc5d14ab,d32a577c-7996-4f49-ae31-2486ee5811bd,true,2,2,0,[],[],[],dsgnlsgdi`gds,2026-05-25T07:12:34.297424+00:00,2026-05-25T07:12:34.297424+00:00
f2b4c73d-9cbb-49f0-a5ec-66abddba2750,d32a577c-7996-4f49-ae31-2486ee5811bd,true,2,2,0,[],[],[],Des enfants ou familles,2026-05-25T15:19:35.20482+00:00,2026-05-25T15:19:35.20482+00:00
95751cde-3aab-40b4-989d-ccf49f5c1050,fa53ace4-a6ba-40ed-a723-25529a1ada9f,true,2,2,0,[],[],[],ados 14 à 18 ans,2026-06-11T18:46:22.43761+00:00,2026-06-11T18:46:22.43761+00:00
eb1caf5d-3cac-4a5b-b4b2-d800119c18a9,fa53ace4-a6ba-40ed-a723-25529a1ada9f,false,0,0,0,[],[],[],,2026-06-12T00:42:21.59864+00:00,2026-06-12T00:42:21.59864+00:00
06963be1-f7f3-4898-915f-1dbd8623b5b3,fa53ace4-a6ba-40ed-a723-25529a1ada9f,false,0,0,0,[],[],[],,2026-06-12T17:04:25.192866+00:00,2026-06-12T17:04:25.192866+00:00
5cb1e473-0f37-4ed5-b8af-9aea3c76a3c8,fa53ace4-a6ba-40ed-a723-25529a1ada9f,false,0,0,0,[],[],[],,2026-06-12T18:38:15.664126+00:00,2026-06-12T18:38:15.664126+00:00
9189f3cf-3fa3-4085-9532-c16f8c44b009,fa53ace4-a6ba-40ed-a723-25529a1ada9f,true,2,0,2,[],[],[],,2026-06-12T19:14:08.330447+00:00,2026-06-12T19:14:08.330447+00:00
